problem;model;language;attempt;tokens;start_time;end_time;number_of_builds_test_runs_needed;description
game-of-life;opus46high;csharp;1;31.600;2026-04-26 13:18:34.272;2026-04-26 13:20:33.568;4;Smooth implementation - added Zombie enum value, updated neighbor counting and evolution logic
game-of-life;opus46high;csharp;2;31.300;2026-04-26 13:18:43.027;2026-04-26 13:20:49.704;3;Straightforward implementation — added Zombie enum value, updated neighbor counting and evolution rules, but needed 2 extra test runs to fix incorrect hand-calculated expected values in zombie test grids
game-of-life;opus46high;csharp;3;34.700;2026-04-26 13:18:52.490;2026-04-26 13:21:14.737;3;Implementation was straightforward (enum + pattern match + neighbor counting) but required 2 extra runs to fix incorrect expected values in test grids due to miscounting zombie neighbor effects
game-of-life;opus46high;csharp;4;31.700;2026-04-26 13:18:59.361;2026-04-26 13:20:54.933;2;First run failed due to incorrect test expectations in 3 zombie tests (miscalculated neighbor effects on non-zombie cells), fixed expectations and passed on second run
game-of-life;opus46high;csharp;5;36.000;2026-04-26 13:19:11.038;2026-04-26 13:21:28.828;3;Clean run — implementation was correct on first try but had to fix 3 test expectations where zombie-as-live neighbor effects on surrounding cells were miscalculated
game-of-life;opus46high;elixir;1;34.900;2026-04-26 14:40:52.650;2026-04-26 14:42:56.428;3;Smooth run - converted :z atoms to 1 for neighbor counting and added zombie rule clause
game-of-life;opus46high;elixir;2;37.400;2026-04-26 14:41:00.703;2026-04-26 14:43:33.164;3;Smooth run - added to_numeric helper to convert zombie atoms to 1 for neighbor counting and a zombie-first rule clause for immutability
game-of-life;opus46high;elixir;3;38.200;2026-04-26 14:41:12.185;2026-04-26 14:43:50.139;3;Implementation was straightforward using a normalize step to convert zombies to 1 for neighbor counting and a rule clause for zombie immutability, but 5 test expectations needed correction due to miscalculated surrounding cell states
game-of-life;opus46high;elixir;4;34.800;2026-04-26 14:41:14.027;2026-04-26 14:43:11.783;2;Smooth run - added to_numeric helper to convert :z to 1 for neighbor counting, added zombie rule clause
game-of-life;opus46high;elixir;5;33.900;2026-04-26 14:41:23.034;2026-04-26 14:43:24.691;2;Smooth run - converted matrix to binary for neighbor counting, added zombie rule clause
game-of-life;ccopus47xhigh;fsharp;1;47.300;2026-05-03 12:09:31.515;2026-05-03 12:10:59.302;1;Added Zombie variant with self-preserving evolveCell case and live-counting fix
game-of-life;ccopus47xhigh;fsharp;2;44.400;2026-05-03 12:16:41.316;2026-05-03 12:17:51.475;2;Smooth run — added Zombie variant, treated zombies as live for neighbor counts, made evolveCell short-circuit on Zombie
game-of-life;ccopus47xhigh;fsharp;3;51.800;2026-05-03 12:18:45.059;2026-05-03 12:20:17.020;2;Smooth run — added Zombie case, batched all acceptance tests + implementation, both test runs (baseline and post-change) passed first try with no compile or logic errors.
game-of-life;ccopus47xhigh;fsharp;4;55.900;2026-05-03 12:21:28.801;2026-05-03 12:23:12.904;3;Added Zombie variant, counted zombies as live, short-circuited evolveCell on Zombie
game-of-life;ccopus47xhigh;fsharp;5;43.400;2026-05-03 12:24:46.710;2026-05-03 12:26:02.500;2;Added Zombie variant to Cell, counted zombies as live in neighbor count, short-circuited evolveCell on Zombie
game-of-life;codex54high;fsharp;1;38.300;2026-05-09 20:09:05.982;2026-05-09 20:10:11.447;3;Added zombie support with acceptance tests, then tightened two overconstrained tests after zombies correctly caused extra births around them.
game-of-life;codex54high;fsharp;2;36.900;2026-05-09 20:12:15.754;2026-05-09 20:14:26.484;3;Added zombie behavior in two TDD slices, and the only surprise was correcting an over-broad immutability test that accidentally froze neighboring cells.
game-of-life;codex54high;fsharp;3;42.200;2026-05-09 20:16:05.592;2026-05-09 20:17:50.337;4;Added zombie-state support in one implementation pass, then had to tighten two over-specified tests and fix one bad neighbor-count fixture before the suite went green.
game-of-life;codex54high;fsharp;4;32.000;2026-05-09 20:18:51.423;2026-05-09 20:20:12.924;4;Added zombie acceptance tests first, hit the expected missing-case compile failure, and only had to correct two initially under-specified expectations caused by zombie-triggered secondary births and survivals.
game-of-life;codex54high;fsharp;5;36.200;2026-05-09 20:21:12.410;2026-05-09 20:22:20.515;3;Added zombie acceptance tests first, implemented immutable zombie cells that count as live neighbors, and the full suite passed without any post-implementation fixes.
game-of-life;gpt54high;fsharp;1;38.900;2026-05-03 12:30:27.629;2026-05-03 12:32:40.022;4;Implemented zombie-cell support quickly, then corrected a few mistaken zombie test expectations and one F# indentation error before the suite went green
game-of-life;gpt54high;fsharp;2;39.700;2026-05-03 12:30:31.504;2026-05-03 12:32:01.607;3;Added a Zombie cell state with persistent self-state and live-neighbor counting, and after fixing an initial test harness mistake the suite passed on the third test run.
game-of-life;gpt54high;fsharp;3;38.600;2026-05-03 12:29:48.037;2026-05-03 12:31:31.677;4;Added zombie support with focused acceptance tests and only had to correct two initially wrong expected outcomes before the full suite went green.
game-of-life;gpt54high;fsharp;4;37.500;2026-05-03 12:31:05.219;2026-05-03 12:32:18.097;3;Added zombie acceptance tests first, then implemented zombie support and corrected three initially incorrect test expectations before the suite went green.
game-of-life;gpt54high;fsharp;5;36.800;2026-05-03 12:30:44.996;2026-05-03 12:32:25.585;2;Added zombie support in the F# model and corrected four initial test expectations that missed births caused by zombie neighbors
game-of-life;opus46high;fsharp;1;38.800;2026-04-26 14:01:05.713;2026-04-26 14:04:27.534;3;Smooth implementation - added Zombie DU case and 3 logic changes, but had to fix 5 test expectations in a second run due to miscalculated neighbor counts for zombie cells
game-of-life;opus46high;fsharp;2;33.200;2026-04-26 14:01:07.851;2026-04-26 14:03:52.539;2;Clean run - added Zombie DU case, updated neighbor counting and evolveCell, first test run had wrong expected values in tests due to miscalculated neighbor interactions, fixed expectations and all 15 tests passed
game-of-life;opus46high;fsharp;3;33.300;2026-04-26 14:01:22.294;2026-04-26 14:03:32.598;2;First run had 2 test failures due to manually miscalculated expected values for zombie neighbor interaction tests
game-of-life;opus46high;fsharp;4;31.800;2026-04-26 14:01:29.017;2026-04-26 14:03:45.080;2;Smooth implementation — added Zombie DU case, counted zombies as live neighbors, and made zombies immutable in evolveCell
game-of-life;opus46high;fsharp;5;37.300;2026-04-26 14:01:38.175;2026-04-26 14:04:36.436;3;Implementation was straightforward but 4 test expectations had incorrect expected grids due to miscounting zombie neighbor effects - needed 2 extra test runs to fix expected outputs
game-of-life;opus47;fsharp;1;32.400;2026-04-26 12:19:38.938;2026-04-26 12:20:42.233;1;Straightforward addition of Zombie cell variant
game-of-life;opus47;fsharp;2;39.300;2026-04-26 12:19:49.971;2026-04-26 12:21:43.071;3;Implemented Zombie cell variant straightforwardly
game-of-life;opus47;fsharp;3;37.800;2026-04-26 12:20:00.736;2026-04-26 12:21:21.519;3;Two early build failures from mangled string replacements (overlapping context lines clobbered the Cell type and a duplicated `[<Fact>]` block) but logic was correct on the first try and passed all 15 tests once the syntax was repaired.
game-of-life;sonnet46high;fsharp;1;35.000;2026-04-26 12:29:37.619;2026-04-26 12:32:07.198;2;Implementation was straightforward but initial test expected values were miscalculated — the surrounding cells' evolution was overlooked when zombie neighbors affect them, requiring a second test run after correcting expectations.
game-of-life;sonnet46high;fsharp;2;34.600;2026-04-26 12:29:35.459;2026-04-26 12:32:13.761;2;Implementation was straightforward (add Zombie DU case, count zombies as live in neighbor count, short-circuit zombie evolution), but the first test run revealed the test expected values were wrong due to miscalculating how zombie neighbors affect other cells' evolution.
game-of-life;sonnet46high;fsharp;3;35.100;2026-04-26 12:29:56.421;2026-04-26 12:32:15.910;2;Implementation was straightforward but required a second test run after fixing four incorrectly calculated expected grids in the zombie tests.
game-of-life;opus46high;js;1;29.400;2026-04-26 12:56:19.271;2026-04-26 12:57:19.180;2;Clean run — added zombie cell state as 'Z' string, updated neighbor counting to treat Z as live, skipped state transitions for zombies. All tests passed on first implementation attempt.
game-of-life;opus46high;js;2;32.100;2026-04-26 12:56:21.215;2026-04-26 12:58:25.965;3;Clean run - implementation was correct on first try but had to fix 4 test expectations where zombie neighbor effects on surrounding cells were miscalculated
game-of-life;opus46high;js;3;26.500;2026-04-26 12:56:31.747;2026-04-26 12:57:30.193;1;Clean run with no issues - added zombie cell state as string 'Z' that counts as live for neighbors but never changes its own state, all 15 tests passed on first run
game-of-life;opus46high;js;4;26.000;2026-04-26 13:14:38.586;2026-04-26 13:15:43.839;3;Clean run with no surprises - added zombie cell state as string 'Z' that counts as live for neighbors but never changes, all 15 tests passed on first implementation attempt
game-of-life;opus46high;js;5;28.900;2026-04-26 13:14:50.483;2026-04-26 13:15:46.486;1;Clean run with no surprises - added zombie cell state as string 'Z' that counts as live for neighbors but never changes its own state, all 15 tests passed on first attempt
game-of-life;opus46high;python;1;38.200;2026-04-26 13:25:39.191;2026-04-26 13:28:19.492;3;Smooth run - implementation was correct on first try but test expectations needed fixing because zombie cells must persist as 'Z' in output rather than becoming 0
game-of-life;opus46high;python;2;35.900;2026-04-26 13:25:52.515;2026-04-26 13:28:11.606;2;Smooth run - initial test expectations for zombie cells had errors (forgot zombies persist in output and miscounted some neighbor effects), fixed in second iteration and all 15 tests passed
game-of-life;opus46high;python;3;37.900;2026-04-26 13:25:53.316;2026-04-26 13:28:07.388;2;First run failed due to incorrect expected values in zombie tests (forgot zombies persist in output and dead cells become 1 not Z), fixed all 5 test expectations and passed on second run
game-of-life;opus46high;python;4;36.600;2026-04-26 13:26:03.713;2026-04-26 13:28:03.149;3;Smooth implementation but had to fix 3 test expectations where zombie neighbor effects on surrounding cells were miscalculated
game-of-life;opus46high;python;5;37.300;2026-04-26 13:26:11.559;2026-04-26 13:28:39.097;3;Smooth implementation but needed 2 extra iterations to fix incorrect expected values in zombie tests where zombies were wrongly expected to become 0 in output and neighbor counts were miscalculated
game-of-life;opus46high;rustlang;1;32.100;2026-04-26 14:48:18.807;2026-04-26 14:49:52.417;3;Smooth run — added Zombie variant to Cell enum, updated neighbor counting and evolution logic. Two test expectations needed fixing due to miscounting zombie neighbors, otherwise straightforward.
game-of-life;opus46high;rustlang;2;36.000;2026-04-26 14:48:27.167;2026-04-26 14:50:37.459;3;Implementation was straightforward but had to fix 3 test expectations due to miscalculating zombie neighbor effects on surrounding cells
game-of-life;opus46high;rustlang;3;34.300;2026-04-26 14:48:31.389;2026-04-26 14:50:21.869;2;Straightforward implementation adding Zombie variant to Cell enum and updating neighbor counting and evolution logic
game-of-life;opus46high;rustlang;4;34.600;2026-04-26 14:48:40.224;2026-04-26 14:50:35.064;2;Straightforward implementation - added Zombie variant to Cell enum and updated neighbor counting and evolution logic
game-of-life;opus46high;rustlang;5;34.100;2026-04-26 14:48:48.234;2026-04-26 14:50:40.873;2;Smooth implementation adding Zombie variant to Cell enum with matches! macro for neighbor counting, but needed a second run to fix 3 incorrect test expectations where I miscalculated neighbor effects of zombies on surrounding cells
game-of-life;opus46high;ts;1;27.900;2026-04-26 13:51:42.405;2026-04-26 13:53:27.048;2;Smooth run with only one failing iteration (missing Zombie enum member) before going green - no surprises
game-of-life;opus46high;ts;2;25.700;2026-04-26 13:51:49.117;2026-04-26 13:53:00.382;1;Clean first-pass implementation — added Zombie enum value, skip zombies in tick, count zombies as live neighbors, all 15 tests green on first run
game-of-life;opus46high;ts;3;25.900;2026-04-26 13:51:57.538;2026-04-26 13:53:06.009;1;Clean run - added Zombie enum value, updated tick to skip zombies and countLiveNeighbors to count them as live, all 15 tests passed on first run
game-of-life;opus46high;ts;4;27.200;2026-04-26 13:52:04.790;2026-04-26 13:53:29.402;2;Smooth run — added Zombie enum value, updated tick to skip zombies and count them as live neighbors, all tests green on first implementation build
game-of-life;opus46high;ts;5;27.400;2026-04-26 13:52:11.313;2026-04-26 13:53:35.826;2;Clean run with no surprises - added Zombie enum value, updated tick to skip zombies and countLiveNeighbors to count them as live, all 15 tests green on first try after changes
gilded-rose;opus46high;csharp;1;34.300;2026-05-03 11:30:11.236;2026-05-03 11:31:28.037;1;Smooth run - refactored to strategy pattern with polymorphism and added Conjured feature, all tests passed on first attempt
gilded-rose;opus46high;csharp;2;28.900;2026-05-03 11:19:23.992;2026-05-03 11:20:47.315;2;Smooth refactoring to strategy pattern with polymorphism, only needed one test run to confirm the approval snapshot needed updating for the new Conjured behavior
gilded-rose;opus46high;csharp;3;36.600;2026-05-03 11:36:52.010;2026-05-03 11:38:34.094;3;Clean refactoring to strategy pattern with polymorphism, only the expected Conjured approval test diff needed updating - no surprises
gilded-rose;opus46high;csharp;4;32.700;2026-05-03 11:45:18.765;2026-05-03 11:46:35.551;2;Clean refactor to strategy pattern with polymorphism, only needed one snapshot update after the Conjured behavior change was correctly implemented
gilded-rose;opus46high;csharp;5;37.400;2026-05-03 11:50:56.630;2026-05-03 11:52:56.468;2;Clean run with strategy pattern refactoring and Conjured feature - no issues, passed on first test run after implementation
gilded-rose;opus46high;elixir;1;32.400;2026-05-03 11:30:30.735;2026-05-03 11:31:28.995;1;Clean run with no issues - refactored nested conds to idiomatic Elixir pattern matching with function clause dispatch and added Conjured item support passing on first test run
gilded-rose;opus46high;elixir;2;31.500;2026-05-03 11:19:35.426;2026-05-03 11:21:41.067;3;Refactoring and Conjured implementation went smoothly using pattern matching
gilded-rose;opus46high;elixir;3;30.400;2026-05-03 11:36:44.725;2026-05-03 11:38:32.454;2;Smooth refactoring to idiomatic pattern matching with one test failure on first attempt due to needing to update the golden master for new conjured behavior
gilded-rose;opus46high;elixir;4;35.200;2026-05-03 11:45:23.483;2026-05-03 11:47:14.414;2;Smooth refactoring using idiomatic Elixir pattern matching with one test failure to fix the golden master for updated Conjured behavior
gilded-rose;opus46high;elixir;5;33.900;2026-05-03 11:51:06.358;2026-05-03 11:53:43.865;2;Smooth refactoring to pattern matching with one test failure due to needing to regenerate the golden master approval file to reflect the new Conjured behavior
gilded-rose;opus46high;fsharp;1;37.000;2026-05-03 11:30:36.056;2026-05-03 11:32:26.172;2;Smooth run - refactored to idiomatic F# pattern matching and added Conjured support in one pass, only needed one extra test run to accept the updated approval snapshot
gilded-rose;opus46high;fsharp;2;31.500;2026-05-03 11:19:41.469;2026-05-03 11:21:03.337;2;Smooth refactoring to idiomatic F# pattern matching with Conjured support, only needed one fix iteration to update the approval snapshot
gilded-rose;opus46high;fsharp;3;34.100;2026-05-03 11:36:51.318;2026-05-03 11:38:21.329;2;Clean refactor to pattern matching with Conjured support added in one pass, only needed snapshot update after first test run failure
gilded-rose;opus46high;fsharp;4;32.000;2026-05-03 11:45:34.871;2026-05-03 11:46:45.216;1;Clean run - refactored to idiomatic F# pattern matching with updateItem function and added Conjured support, all green on first test run
gilded-rose;opus46high;fsharp;5;29.000;2026-05-03 11:51:19.543;2026-05-03 11:52:40.891;2;Smooth refactoring to idiomatic F# pattern matching with Conjured support, only needed one test run to verify the snapshot diff then accepted it
gilded-rose;opus46high;js;1;30.000;2026-05-03 11:30:23.257;2026-05-03 11:32:14.353;2;Clean run with no issues - refactored to strategy pattern with dedicated updater functions per item type, all tests green on first try after snapshot update
gilded-rose;opus46high;js;2;27.700;2026-05-03 11:19:51.776;2026-05-03 11:20:57.781;2;Clean run with strategy-pattern refactoring and Conjured feature added in one pass, snapshot update needed as expected for changed Conjured behavior
gilded-rose;opus46high;js;3;27.500;2026-05-03 11:36:48.262;2026-05-03 11:38:43.960;2;Clean run with no issues - refactored to strategy pattern with named updaters and added Conjured feature on first attempt
gilded-rose;opus46high;js;4;26.800;2026-05-03 11:45:30.338;2026-05-03 11:46:35.053;2;Clean refactoring to strategy pattern with updater functions, Conjured feature added in one pass with no issues
gilded-rose;opus46high;js;5;30.300;2026-05-03 11:51:26.188;2026-05-03 11:52:35.303;2;Clean run with no issues - refactored to strategy pattern with updater functions and implemented Conjured items degrading twice as fast, all tests passed on first real attempt after snapshot update
gilded-rose;opus46high;python;1;31.400;2026-05-03 11:31:04.141;2026-05-03 11:32:28.964;3;Smooth run - refactored to strategy pattern with updater functions, implemented Conjured with double degradation, one test failure to approve new snapshot then all green
gilded-rose;opus46high;python;2;36.100;2026-05-03 11:20:09.694;2026-05-03 11:21:42.363;1;Clean run with no issues - refactored to strategy pattern with module-level functions and added conjured item support, approval snapshot updated for new degradation rates
gilded-rose;opus46high;python;3;29.300;2026-05-03 11:37:11.884;2026-05-03 11:38:37.825;2;Clean refactoring to strategy functions with Conjured support added in one pass, only needed snapshot update after initial test failure
gilded-rose;opus46high;python;4;27.700;2026-05-03 11:45:44.163;2026-05-03 11:47:13.568;3;Clean refactoring to strategy-based dispatch with Conjured support added in one step, only hiccup was needing to approve the updated snapshot for the characterization test
gilded-rose;opus46high;python;5;34.400;2026-05-03 11:51:53.731;2026-05-03 11:53:17.982;2;Clean refactoring to strategy pattern with polymorphism, only needed one extra test run to update the approval baseline after Conjured behavior changed
gilded-rose;opus46high;rustlang;1;40.100;2026-05-03 11:31:02.204;2026-05-03 11:33:12.024;2;Clean refactoring to idiomatic Rust pattern matching with Conjured feature added in one pass, only needed snapshot acceptance after initial test run
gilded-rose;opus46high;rustlang;2;32.400;2026-05-03 11:20:19.814;2026-05-03 11:21:27.023;2;Smooth refactoring using idiomatic Rust pattern matching, needed one extra test run to accept the updated snapshot after Conjured behavior change
gilded-rose;opus46high;rustlang;3;38.700;2026-05-03 11:37:35.542;2026-05-03 11:39:32.276;2;Smooth refactoring using idiomatic Rust pattern matching, snapshot needed updating for new Conjured behavior as expected
gilded-rose;opus46high;rustlang;4;33.100;2026-05-03 11:46:03.782;2026-05-03 11:47:12.712;2;Clean run - refactored to idiomatic match-based dispatch, implemented Conjured with double degradation, snapshot updated on first try with no surprises
gilded-rose;opus46high;rustlang;5;35.000;2026-05-03 11:51:42.963;2026-05-03 11:53:12.634;2;Clean run - refactored to idiomatic match-based dispatch, snapshot only differed on Conjured values confirming no behavior change for other items
gilded-rose;opus46high;ts;1;28.400;2026-05-03 11:30:54.121;2026-05-03 11:32:15.373;2;Smooth refactoring to strategy pattern with updater classes, snapshot update needed for Conjured behavior change, all acceptance criteria met on first implementation attempt
gilded-rose;opus46high;ts;2;25.700;2026-05-03 11:19:59.339;2026-05-03 11:21:14.143;2;Clean run with strategy pattern refactoring and Conjured feature, snapshot update needed for changed Conjured behavior was the only notable step
gilded-rose;opus46high;ts;3;27.200;2026-05-03 11:37:54.813;2026-05-03 11:39:21.176;2;Clean run with strategy pattern refactoring and Conjured feature, no issues encountered
gilded-rose;opus46high;ts;4;26.500;2026-05-03 11:46:10.128;2026-05-03 11:47:17.584;2;Clean refactoring to strategy pattern with polymorphic updaters, snapshot update needed as expected when Conjured behavior changed, no surprises
gilded-rose;opus46high;ts;5;27.200;2026-05-03 11:52:11.053;2026-05-03 11:53:32.422;1;Clean run with strategy pattern refactoring, only iteration needed was updating the snapshot to reflect new Conjured item behavior
